Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0002612310334603437,1000.0000000000001,0.9999999999998531,0.002387044378363844,1.4501954763563953e-05,0.5815974394572956,0.08619049827269604,0.03106270663090071,0.26092953528692775,0.037818274019052585,0.9952755606825161,0.0014343994735456775,0.0005385523391844871,4.894630810707663e-05,0.0021753912085802156,1.1576094642391391e-07,4.457683245280169e-09,2.4825331293918965e-11,8.877427296368046e-13,0.0005233165290371619,3.7132146867893627e-06
0.00026152866286994195,1000.0000000000001,0.9999999999998531,0.0023940089811090304,1.4281181450793927e-05,0.5815924288049467,0.08618794568196729,0.031063935228914364,0.2609292836641122,0.037818116457499516,0.9952726929026594,0.0014364595052506696,0.0005385461450093064,4.887708871761904e-05,0.002175470285915217,1.1576035904189727e-07,4.451637980524448e-09,2.4791927693514465e-11,8.894279065170993e-13,0.0005241315134009341,3.702321368261827e-06
0.0002617965293385804,1000.0000000000001,0.9999999999998531,0.0024009699658775357,1.4063771301243978e-05,0.5815874172794667,0.08618539636219665,0.03106516211280296,0.260929031509868,0.03781795899848689,0.9952698307338109,0.0014385154327495161,0.0005385399531576522,4.880845813527446e-05,0.0021755492569599626,1.1575977328018081e-07,4.4456438560073996e-09,2.4758810136889268e-11,8.911140885399314e-13,0.0005249444147103073,3.6915194092221396e-06
0.0002620643958072188,1000.0000000000001,0.9999999999998532,0.0024079273164782484,1.3849673045852967e-05,0.5815824049480521,0.08618285028812102,0.03106638729751148,0.2609287788347525,0.03781780164203863,0.9952669741594395,0.0014405672701496056,0.0005385337636816131,4.8740408381146714e-05,0.0021756281227032245,1.1575918912530143e-07,4.439700178259918e-09,2.4725974755293083e-11,8.92801240979643e-13,0.0005257552435327561,3.6808076045553745e-06
0.0002623322622758572,1000.0000000000001,0.9999999999998532,0.0024148810171186696,1.3638836197732668e-05,0.5815773918767598,0.08618030743481066,0.031067610797779924,0.26092852564915814,0.037817644388175004,0.9952641231648426,0.0014426150315513778,0.0005385275766332247,4.867293159968262e-05,0.0021757068841237797,1.1575860656418723e-07,4.4338062645461246e-09,2.4693417738825686e-11,8.94489326167911e-13,0.0005265640084756227,3.670184773043345e-06
0.0002626001287444957,1000.0000000000001,0.9999999999998531,0.0024218310523990943,1.3431211040198094e-05,0.5815723781305236,0.0861777677776641,0.031068832628146296,0.260928271963314,0.03781748723691256,0.995261277735247,0.0014446587310486757,0.000538521392063464,4.860602005961248e-05,0.0021757855421864545,1.1575802558394113e-07,4.427961442953072e-09,2.4661135337932953e-11,8.961783069415186e-13,0.0005273707180884119,3.6596497610945925e-06
0.0002628679952131341,1000.0000000000001,0.9999999999998532,0.0024287774073069287,1.3226748615040396e-05,0.5815673637731724,0.08617523129240295,0.031070052802949843,0.26092801778728864,0.03781733018826427,0.9952584378511653,0.0014466983826898123,0.0005385152100197525,4.853966614802321e-05,0.002175864097832136,1.1575744617128057e-07,4.422165051863174e-09,2.462912386300259e-11,8.978681555236959e-13,0.0005281753855886734,3.649201418715521e-06
0.0002631358616817725,1000.0000000000001,0.9999999999998532,0.0024357200672110893,1.302540071090807e-05,0.581562348867445,0.0861726979550668,0.03107127133633418,0.2609277631309926,0.03781717324223949,0.9952556034972272,0.00144873400051831,0.0005385090305507405,4.847386236805339e-05,0.0021759425519973803,1.157568683135696e-07,4.416416439752688e-09,2.4597379678497502e-11,8.995588369519364e-13,0.000528978019937162,3.6388386198260683e-06
0.00026340372815041095,1000.0000000000001,0.9999999999998531,0.002441925810166987,1.2847932771259303e-05,0.5815578635771488,0.08617043501535501,0.031072359702964195,0.2609275349906925,0.03781703297090129,0.9952530733825523,0.0014505510668537725,0.0005385035064160273,4.841547340123416e-05,0.0021760126290783824,1.1575635283731859e-07,4.411315350208337e-09,2.4569214045189482e-11,9.010715017555436e-13,0.0005296941059265509,3.6296426329613722e-06
0.0002636432835914311,1000.0000000000001,0.9999999999998532,0.0024481285765488936,1.2672884344158973e-05,0.5815533779409933,0.08616817455769692,0.031073446777815622,0.26092730648095425,0.03781689278164681,0.9952505476657817,0.0014523649282232134,0.0005384979844111725,4.8357513321267455e-05,0.002176082626382974,1.157558385857207e-07,4.406251508936889e-09,2.454125680483361e-11,9.025847838975511e-13,0.0005304085809461669,3.6205133999132933e-06
0.0002638828390324512,1000.0000000000001,0.9999999999998531,0.0024531150091395863,1.2533834019842343e-05,0.5815497701288641,0.08616635836552322,0.031074320131328156,0.26092712243767247,0.03781678009345252,0.995248519531554,0.001453821414687454,0.0005384935448849521,4.831120639629716e-05,0.002176138864540811,1.1575542587949672e-07,4.402205617613335e-09,2.4518921595578504e-11,9.038022787792213e-13,0.0005309820357919364,3.6132190901612336e-06
0.0002640755024205712,1000.0000000000001,0.9999999999998531,0.002458099505180696,1.2396310374909357e-05,0.5815461621425897,0.08616454375962024,0.031075192660589338,0.26092693816329454,0.03781666745835054,0.9952464942295061,0.0014552758397692591,0.0005384891067746119,4.8265170932443736e-05,0.002176195051845425,1.1575501395533725e-07,4.398183302029867e-09,2.449671829280757e-11,9.050201443851919e-13,0.00053155445550642,3.6059670669801556e-06
0.00026426816580869117,1000.0000000000001,0.9999999999998531,0.0024630820598242906,1.2260296635714701e-05,0.5815425540038146,0.08616273073156851,0.031076064370556773,0.26092675366126133,0.037816554876338795,0.9952444717529608,0.0014567282086578935,0.0005384846700961889,4.821940432417963e-05,0.0021762511886223475,1.1575460280869297e-07,4.394184335771139e-09,2.4474645633541292e-11,9.062383702392348e-13,0.0005321258442303437,3.5987569401644475e-06
0.0002644608291968112,1000.0000000000001,0.9999999999998531,0.0024680626683169257,1.212577621304617e-05,0.5815389457339145,0.08616091927302696,0.03107693526613974,0.2609265689349747,0.03781644234741426,0.9952424520957509,0.0014581785265368199,0.000538480234865749,4.8173903995103425e-05,0.0021763072751949234,1.1575419243511558e-07,4.390208494955026e-09,2.445270236865297e-11,9.07456945041012e-13,0.0005326962055712218,3.5915883241012374e-06
