Us,Ul,Ut,D,x,x/L,r/R,Solids Holdup
1.19,35,7.1,500,2,0.33,0.95,0.0342
1.72,33.6,7.1,500,2,0.33,0,0.0249
1.72,33.6,7.1,500,2,0.33,0.2,0.0249
1.72,33.6,7.1,500,2,0.33,0.49,0.0258
1.72,33.6,7.1,500,2,0.33,0.64,0.0286
1.72,33.6,7.1,500,2,0.33,0.76,0.0314
1.72,33.6,7.1,500,2,0.33,0.86,0.0354
1.72,33.6,7.1,500,2,0.33,0.95,0.0378
0.95,8.4,7.1,500,2,0.33,0,0.1141
0.95,8.4,7.1,500,2,0.33,0.2,0.1141
0.95,8.4,7.1,500,2,0.33,0.49,0.1195
0.95,8.4,7.1,500,2,0.33,0.64,0.125
0.95,8.4,7.1,500,2,0.33,0.76,0.1305
0.95,8.4,7.1,500,2,0.33,0.86,0.1347
0.95,8.4,7.1,500,2,0.33,0.95,0.1368
0.95,11.2,7.1,500,2,0.33,0,0.0791
0.95,11.2,7.1,500,2,0.33,0.2,0.0791
0.95,11.2,7.1,500,2,0.33,0.49,0.0829
0.95,11.2,7.1,500,2,0.33,0.64,0.0875
0.95,11.2,7.1,500,2,0.33,0.76,0.092
0.95,11.2,7.1,500,2,0.33,0.86,0.0964
0.95,11.2,7.1,500,2,0.33,0.95,0.0989
1.37,22.4,7.1,500,2,0.33,0,0.0581
1.37,22.4,7.1,500,2,0.33,0.2,0.0581
1.37,22.4,7.1,500,2,0.33,0.49,0.0592
1.37,22.4,7.1,500,2,0.33,0.64,0.0598
1.37,22.4,7.1,500,2,0.33,0.76,0.0681
1.37,22.4,7.1,500,2,0.33,0.86,0.0745
1.37,22.4,7.1,500,2,0.33,0.95,0.0781
0.75,11.2,7.1,500,3,0.5,0,0.0727
0.75,11.2,7.1,500,3,0.5,0.2,0.0727
0.75,11.2,7.1,500,3,0.5,0.49,0.0733
0.75,11.2,7.1,500,3,0.5,0.64,0.0738
0.75,11.2,7.1,500,3,0.5,0.76,0.0817
0.75,11.2,7.1,500,3,0.5,0.86,0.0878
0.75,11.2,7.1,500,3,0.5,0.95,0.0913
0.98,11.2,7.1,500,3,0.5,0,0.0906
0.98,11.2,7.1,500,3,0.5,0.2,0.0906
0.98,11.2,7.1,500,3,0.5,0.49,0.0921
0.98,11.2,7.1,500,3,0.5,0.64,0.0936
0.98,11.2,7.1,500,3,0.5,0.76,0.1026
0.98,11.2,7.1,500,3,0.5,0.86,0.1097
0.98,11.2,7.1,500,3,0.5,0.95,0.1134
1.16,11.2,7.1,500,3,0.5,0,0.1018
1.16,11.2,7.1,500,3,0.5,0.2,0.1018
1.16,11.2,7.1,500,3,0.5,0.49,0.1029
1.16,11.2,7.1,500,3,0.5,0.64,0.104
1.16,11.2,7.1,500,3,0.5,0.76,0.1135
1.16,11.2,7.1,500,3,0.5,0.86,0.1194
1.16,11.2,7.1,500,3,0.5,0.95,0.1222
0.95,22.4,7.1,500,3,0.5,0,0.0517
0.95,22.4,7.1,500,3,0.5,0.2,0.0517
0.95,22.4,7.1,500,3,0.5,0.49,0.0523
0.95,22.4,7.1,500,3,0.5,0.64,0.0528
0.95,22.4,7.1,500,3,0.5,0.76,0.0607
0.95,22.4,7.1,500,3,0.5,0.86,0.0617
0.95,22.4,7.1,500,3,0.5,0.95,0.0638
1.37,22.4,7.1,500,3,0.5,0,0.0585
1.37,22.4,7.1,500,3,0.5,0.2,0.0585
1.37,22.4,7.1,500,3,0.5,0.49,0.0592
1.37,22.4,7.1,500,3,0.5,0.64,0.0598
1.37,22.4,7.1,500,3,0.5,0.76,0.0681
1.37,22.4,7.1,500,3,0.5,0.86,0.0715
1.37,22.4,7.1,500,3,0.5,0.95,0.0718
1.19,35,7.1,500,3,0.5,0,0.0267
1.19,35,7.1,500,3,0.5,0.2,0.0267
1.19,35,7.1,500,3,0.5,0.49,0.0281
1.19,35,7.1,500,3,0.5,0.64,0.0302
1.19,35,7.1,500,3,0.5,0.76,0.0323
1.19,35,7.1,500,3,0.5,0.86,0.034
1.19,35,7.1,500,3,0.5,0.95,0.0349
1.72,33.6,7.1,500,3,0.5,0,0.0297
1.72,33.6,7.1,500,3,0.5,0.2,0.0297
1.72,33.6,7.1,500,3,0.5,0.49,0.0313
1.72,33.6,7.1,500,3,0.5,0.64,0.0332
1.72,33.6,7.1,500,3,0.5,0.76,0.035
1.72,33.6,7.1,500,3,0.5,0.86,0.0363
1.72,33.6,7.1,500,3,0.5,0.95,0.0368
0.95,8.4,7.1,500,3,0.5,0,0.115
0.95,8.4,7.1,500,3,0.5,0.2,0.115
0.95,8.4,7.1,500,3,0.5,0.49,0.1172
0.95,8.4,7.1,500,3,0.5,0.64,0.1193
0.95,8.4,7.1,500,3,0.5,0.76,0.1266
0.95,8.4,7.1,500,3,0.5,0.86,0.1324
0.95,8.4,7.1,500,3,0.5,0.95,0.135
0.4,10,7.3,508,0.35,0.13,0,0.067
0.4,10,7.3,508,0.35,0.13,0.2,0.066
0.4,10,7.3,508,0.35,0.13,0.49,0.069
0.4,10,7.3,508,0.35,0.13,0.64,0.07
0.4,10,7.3,508,0.35,0.13,0.76,0.072
0.4,10,7.3,508,0.35,0.13,0.86,0.078
0.4,10,7.3,508,0.35,0.13,0.95,0.08
0.4,10,7.3,508,0.8,0.3,0,0.068
0.4,10,7.3,508,0.8,0.3,0.2,0.068
0.4,10,7.3,508,0.8,0.3,0.49,0.072
0.4,10,7.3,508,0.8,0.3,0.64,0.073
0.4,10,7.3,508,0.8,0.3,0.76,0.074
0.4,10,7.3,508,0.8,0.3,0.86,0.08
0.4,10,7.3,508,0.8,0.3,0.95,0.085
0.11,7.8,5.3,405,0.4,0.13,0,0.045
0.11,7.8,5.3,405,0.4,0.13,0.2,0.065
0.11,7.8,5.3,405,0.4,0.13,0.49,0.0905
0.11,7.8,5.3,405,0.4,0.13,0.64,0.1
0.11,7.8,5.3,405,0.4,0.13,0.76,0.105
0.11,7.8,5.3,405,0.4,0.13,0.86,0.12
0.11,7.8,5.3,405,0.4,0.13,0.95,0.125
0.11,7.8,5.3,405,0.8,0.27,0,0.05
0.11,7.8,5.3,405,0.8,0.27,0.2,0.065
0.11,7.8,5.3,405,0.8,0.27,0.49,0.09
0.11,7.8,5.3,405,0.8,0.27,0.64,0.1
0.11,7.8,5.3,405,0.8,0.27,0.76,0.11
0.11,7.8,5.3,405,0.8,0.27,0.86,0.125
0.11,7.8,5.3,405,0.8,0.27,0.95,0.13
0.4,15,7.3,508,0.35,0.13,0,0.049
0.4,15,7.3,508,0.35,0.13,0.2,0.05
0.4,15,7.3,508,0.35,0.13,0.49,0.05
0.4,15,7.3,508,0.35,0.13,0.64,0.05
0.4,15,7.3,508,0.35,0.13,0.76,0.054
0.4,15,7.3,508,0.35,0.13,0.86,0.055
0.4,15,7.3,508,0.35,0.13,0.95,0.063
0.4,15,7.3,508,0.8,0.3,0,0.048
0.4,15,7.3,508,0.8,0.3,0.2,0.049
0.4,15,7.3,508,0.8,0.3,0.49,0.049
0.4,15,7.3,508,0.8,0.3,0.64,0.052
0.4,15,7.3,508,0.8,0.3,0.76,0.055
0.4,15,7.3,508,0.8,0.3,0.86,0.056
0.4,15,7.3,508,0.8,0.3,0.95,0.058
0.19,7.8,5.3,405,0.4,0.13,0,0.14
0.19,7.8,5.3,405,0.4,0.13,0.2,0.16
0.19,7.8,5.3,405,0.4,0.13,0.49,0.2
0.19,7.8,5.3,405,0.4,0.13,0.64,0.225
0.19,7.8,5.3,405,0.4,0.13,0.76,0.22
0.19,7.8,5.3,405,0.4,0.13,0.86,0.215
0.19,7.8,5.3,405,0.4,0.13,0.95,0.26
0.19,7.8,5.3,405,0.8,0.27,0,0.145
0.19,7.8,5.3,405,0.8,0.27,0.2,0.16
0.19,7.8,5.3,405,0.8,0.27,0.49,0.17
0.19,7.8,5.3,405,0.8,0.27,0.64,0.19
0.19,7.8,5.3,405,0.8,0.27,0.76,0.22
0.19,7.8,5.3,405,0.8,0.27,0.86,0.235
0.19,7.8,5.3,405,0.8,0.27,0.95,0.255
0.19,7.8,5.3,405,1.2,0.4,0,0.145
0.19,7.8,5.3,405,1.2,0.4,0.2,0.16
0.19,7.8,5.3,405,1.2,0.4,0.49,0.18
0.19,7.8,5.3,405,1.2,0.4,0.64,0.21
0.19,7.8,5.3,405,1.2,0.4,0.76,0.23
0.19,7.8,5.3,405,1.2,0.4,0.86,0.225
0.19,7.8,5.3,405,1.2,0.4,0.95,0.25
0.19,7.8,5.3,405,2.2,0.73,0,0.145
0.19,7.8,5.3,405,2.2,0.73,0.2,0.16
0.19,7.8,5.3,405,2.2,0.73,0.49,0.18
0.19,7.8,5.3,405,2.2,0.73,0.64,0.2
0.19,7.8,5.3,405,2.2,0.73,0.76,0.21
0.19,7.8,5.3,405,2.2,0.73,0.86,0.23
0.19,7.8,5.3,405,2.2,0.73,0.95,0.245
0.4,10,7.3,508,1.25,0.46,0,0.067
0.4,10,7.3,508,1.25,0.46,0.2,0.068
0.4,10,7.3,508,1.25,0.46,0.49,0.069
0.4,10,7.3,508,1.25,0.46,0.64,0.068
0.4,10,7.3,508,1.25,0.46,0.76,0.072
0.4,10,7.3,508,1.25,0.46,0.86,0.077
0.4,10,7.3,508,1.25,0.46,0.95,0.087
0.4,10,7.3,508,1.7,0.64,0,0.066
0.4,10,7.3,508,1.7,0.64,0.2,0.066
0.4,10,7.3,508,1.7,0.64,0.49,0.066
0.4,10,7.3,508,1.7,0.64,0.64,0.07
0.4,10,7.3,508,1.7,0.64,0.76,0.073
0.4,10,7.3,508,1.7,0.64,0.86,0.066
0.4,10,7.3,508,1.7,0.64,0.95,0.083
0.11,7.8,5.3,405,1.2,0.4,0,0.05
0.11,7.8,5.3,405,1.2,0.4,0.2,0.065
0.11,7.8,5.3,405,1.2,0.4,0.49,0.075
0.11,7.8,5.3,405,1.2,0.4,0.64,0.1
0.11,7.8,5.3,405,1.2,0.4,0.76,0.11
0.11,7.8,5.3,405,1.2,0.4,0.86,0.13
0.11,7.8,5.3,405,1.2,0.4,0.95,0.135
0.11,7.8,5.3,405,2.2,0.73,0,0.05
0.11,7.8,5.3,405,2.2,0.73,0.2,0.07
0.11,7.8,5.3,405,2.2,0.73,0.49,0.09
0.11,7.8,5.3,405,2.2,0.73,0.64,0.1
0.11,7.8,5.3,405,2.2,0.73,0.76,0.12
0.11,7.8,5.3,405,2.2,0.73,0.86,0.14
0.11,7.8,5.3,405,2.2,0.73,0.95,0.14
0.4,15,7.3,508,1.25,0.46,0,0.047
0.4,15,7.3,508,1.25,0.46,0.2,0.048
0.4,15,7.3,508,1.25,0.46,0.49,0.048
0.4,15,7.3,508,1.25,0.46,0.64,0.049
0.4,15,7.3,508,1.25,0.46,0.76,0.05
